"番号","投与区分","厚労省コード","医薬品名","一般名","規格単位","会社名","薬価","旧薬価","先発・後発","規制区分","経過措置日","HOT番号","レセ電算コード(1)","置き換え率","一般名処方マスタ","YJコード","薬効87分類","拡張薬効分類","成分名","販売中止予定日"
"902","内","5200013D1123","ツムラ葛根湯エキス顆粒(医療用)","葛根湯エキス顆粒","1g","ツムラ","13.40","13.40","","","","109879201","615101406","","なし","5200013D1123","漢方製剤－漢方製剤－漢方製剤","漢方製剤","葛根湯エキス","-"
"903","内","5200014C1025","三和葛根加朮附湯エキス細粒","葛根加朮附湯エキス細粒","1g","三和生薬=大杉","14.40","14.40","","劇","","109886001","615101282","","なし","5200014C1025","漢方製剤－漢方製剤－漢方製剤","漢方製剤","葛根加朮附湯エキス","-"
"904","内","5200015D1084","ツムラ葛根湯加川きゅう辛夷エキス顆粒(医療用)","葛根湯加川きゅう辛夷エキス顆粒","1g","ツムラ","10.10","10.10","","","","109893801","615101407","","なし","5200015D1084","漢方製剤－漢方製剤－漢方製剤","漢方製剤","葛根湯加川きゅう辛夷エキス","-"
"905","内","5200016D1054","ツムラ加味帰脾湯エキス顆粒(医療用)","加味帰脾湯エキス顆粒","1g","ツムラ","25.90","26.00","","","","109902701","615101408","","なし","5200016D1054","漢方製剤－漢方製剤－漢方製剤","漢方製剤","加味帰脾湯エキス","-"
"906","内","5200017D1083","ツムラ加味逍遙散エキス顆粒(医療用)","加味逍遙散エキス顆粒","1g","ツムラ","15.90","15.90","","","","109914001","615101409","","なし","5200017D1083","漢方製剤－漢方製剤－漢方製剤","漢方製剤","加味逍遙散エキス","-"
"907","内","5200019D1031","ツムラ甘麦大棗湯エキス顆粒(医療用)","甘麦大棗湯エキス顆粒","1g","ツムラ","12.20","12.20","","","","109923201","615101410","","なし","5200019D1031","漢方製剤－漢方製剤－漢方製剤","漢方製剤","甘麦大棗湯エキス","-"
"908","内","5200020D1026","ツムラ桔梗湯エキス顆粒(医療用)","桔梗湯エキス顆粒","1g","ツムラ","6.90","6.70","","","","109924901","615101411","","なし","5200020D1026","漢方製剤－漢方製剤－漢方製剤","漢方製剤","桔梗湯エキス","-"
"909","内","5200021C1025","コタロー桔梗石膏エキス細粒","桔梗石膏エキス細粒","1g","小太郎","11.20","11.20","","","","109925601","615101197","","なし","5200021C1025","漢方製剤－漢方製剤－漢方製剤","漢方製剤","桔梗石膏エキス","-"
"910","内","5200022D1033","ツムラ帰脾湯エキス顆粒(医療用)","帰脾湯エキス顆粒","1g","ツムラ","30.20","30.20","","","","109928701","615101412","","なし","5200022D1033","漢方製剤－漢方製剤－漢方製剤","漢方製剤","帰脾湯エキス","-"
"911","内","5200023D1020","ツムラきゅう帰膠艾湯エキス顆粒(医療用)","きゅう帰膠艾湯エキス顆粒","1g","ツムラ","8.00","8.00","","","","109931701","615101413","","なし","5200023D1020","漢方製剤－漢方製剤－漢方製剤","漢方製剤","きゅう帰膠艾湯エキス","-"
"912","内","5200024D1024","太虎堂のきゅう帰調血飲エキス顆粒","きゅう帰調血飲エキス顆粒","1g","太虎精堂=クラシエ薬品","18.30","18.30","","","","109932402","615101372","","なし","5200024D1024","漢方製剤－漢方製剤－漢方製剤","漢方製剤","きゅう帰調血飲エキス","-"
"913","内","5200025D1029","ツムラ牛車腎気丸エキス顆粒(医療用)","牛車腎気丸エキス顆粒","1g","ツムラ","17.70","17.70","","","","109933101","615101414","","なし","5200025D1029","漢方製剤－漢方製剤－漢方製剤","漢方製剤","牛車腎気丸エキス","-"
"914","内","5200026C1028","コタロー九味檳榔湯エキス細粒","九味檳榔湯エキス細粒","1g","小太郎","19.00","19.00","","","","109934801","615101199","","なし","5200026C1028","漢方製剤－漢方製剤－漢方製剤","漢方製剤","九味檳榔湯エキス","-"
"915","内","5200027D1052","ツムラ荊芥連翹湯エキス顆粒(医療用)","荊芥連翹湯エキス顆粒","1g","ツムラ","18.50","18.60","","","","109938601","615101415","","なし","5200027D1052","漢方製剤－漢方製剤－漢方製剤","漢方製剤","荊芥連翹湯エキス","-"
"916","内","5200028D1049","ツムラ桂枝湯エキス顆粒(医療用)","桂枝湯エキス顆粒","1g","ツムラ","6.90","6.70","","","","109944701","615101420","","なし","5200028D1049","漢方製剤－漢方製剤－漢方製剤","漢方製剤","桂枝湯エキス","-"
"917","内","5200033D1023","ツムラ桂枝加芍薬大黄湯エキス顆粒(医療用)","桂枝加芍薬大黄湯エキス顆粒","1g","ツムラ","14.40","14.40","","","","109960701","615101416","","なし","5200033D1023","漢方製剤－漢方製剤－漢方製剤","漢方製剤","桂枝加芍薬大黄湯エキス","-"
"918","内","5200034D1044","ツムラ桂枝加朮附湯エキス顆粒(医療用)","桂枝加朮附湯エキス顆粒(2)","1g","ツムラ","14.90","14.90","","","","109965201","615101418","","なし","5200034D1044","漢方製剤－漢方製剤－漢方製剤","漢方製剤","桂枝加朮附湯エキス","-"
"919","内","5200035D1030","ツムラ桂枝加竜骨牡蛎湯エキス顆粒(医療用)","桂枝加竜骨牡蛎湯エキス顆粒","1g","ツムラ","13.80","13.80","","","","109973701","615101419","","なし","5200035D1030","漢方製剤－漢方製剤－漢方製剤","漢方製剤","桂枝加竜骨牡蛎湯エキス","-"
"920","内","5200036C1030","クラシエ桂枝加苓朮附湯エキス細粒","桂枝加苓朮附湯エキス細粒","1g","クラシエ=クラシエ薬品","10.80","10.80","","劇","","109976801","620005324","","なし","5200036C1030","漢方製剤－漢方製剤－漢方製剤","漢方製剤","桂枝加苓朮附湯エキス","-"
"921","内","5200037D1021","ツムラ桂枝人参湯エキス顆粒(医療用)","桂枝人参湯エキス顆粒","1g","ツムラ","21.80","21.80","","","","109981201","615101421","","なし","5200037D1021","漢方製剤－漢方製剤－漢方製剤","漢方製剤","桂枝人参湯エキス","-"
"922","内","5200038D1093","ツムラ桂枝茯苓丸エキス顆粒(医療用)","桂枝茯苓丸エキス顆粒","1g","ツムラ","14.10","14.10","","","","109993501","615101422","","なし","5200038D1093","漢方製剤－漢方製剤－漢方製剤","漢方製剤","桂枝茯苓丸エキス","-"
"923","内","5200039D1039","ツムラ桂枝茯苓丸加よく苡仁エキス顆粒(医療用)","桂枝茯苓丸加よく苡仁エキス顆粒","1g","ツムラ","16.40","16.40","","","","110001301","615101752","","なし","5200039D1039","漢方製剤－漢方製剤－漢方製剤","漢方製剤","桂枝茯苓丸加よく苡仁エキス","-"
"924","内","5200041D1028","ツムラ啓脾湯エキス顆粒(医療用)","啓脾湯エキス顆粒","1g","ツムラ","31.10","31.10","","","","110004401","615101753","","なし","5200041D1028","漢方製剤－漢方製剤－漢方製剤","漢方製剤","啓脾湯エキス","-"
"925","内","5200043D1027","ツムラ香蘇散エキス顆粒(医療用)","香蘇散エキス顆粒","1g","ツムラ","10.70","10.70","","","","110007501","615101423","","なし","5200043D1027","漢方製剤－漢方製剤－漢方製剤","漢方製剤","香蘇散エキス","-"
"926","内","5200044D1030","ツムラ五虎湯エキス顆粒(医療用)","五虎湯エキス顆粒","1g","ツムラ","11.00","11.00","","","","110011201","615101424","","なし","5200044D1030","漢方製剤－漢方製剤－漢方製剤","漢方製剤","五虎湯エキス","-"
"927","内","5200045D1034","ツムラ五積散エキス顆粒(医療用)","五積散エキス顆粒","1g","ツムラ","13.40","13.40","","","","110015001","615101426","","なし","5200045D1034","漢方製剤－漢方製剤－漢方製剤","漢方製剤","五積散エキス","-"
"928","内","5200046D1039","ツムラ呉茱萸湯エキス顆粒(医療用)","呉茱萸湯エキス顆粒","1g","ツムラ","15.30","15.30","","","","110020401","615101425","","なし","5200046D1039","漢方製剤－漢方製剤－漢方製剤","漢方製剤","呉茱萸湯エキス","-"
"929","内","5200047D1025","ツムラ五淋散エキス顆粒(医療用)","五淋散エキス顆粒","1g","ツムラ","17.00","17.00","","","","110022801","615101427","","なし","5200047D1025","漢方製剤－漢方製剤－漢方製剤","漢方製剤","五淋散エキス","-"
"930","内","5200048D1070","ツムラ五苓散エキス顆粒(医療用)","五苓散エキス顆粒","1g","ツムラ","13.50","13.60","","","","110035801","615101428","","なし","5200048D1070","漢方製剤－漢方製剤－漢方製剤","漢方製剤","五苓散エキス","-"
"931","内","5200049D1032","ツムラ柴陥湯エキス顆粒(医療用)","柴陥湯エキス顆粒","1g","ツムラ","33.20","33.20","","","","110043301","615101429","","なし","5200049D1032","漢方製剤－漢方製剤－漢方製剤","漢方製剤","柴陥湯エキス","-"
"932","内","5200050D1094","ツムラ柴胡加竜骨牡蛎湯エキス顆粒(医療用)","柴胡加竜骨牡蛎湯エキス顆粒","1g","ツムラ","20.20","20.30","","","","110053201","615101430","","なし","5200050D1094","漢方製剤－漢方製剤－漢方製剤","漢方製剤","柴胡加竜骨牡蛎湯エキス","-"
"933","内","5200051D1080","ツムラ柴胡桂枝湯エキス顆粒(医療用)","柴胡桂枝湯エキス顆粒","1g","ツムラ","24.20","24.20","","","","110068601","615101432","","なし","5200051D1080","漢方製剤－漢方製剤－漢方製剤","漢方製剤","柴胡桂枝湯エキス","-"
"934","内","5200052D1034","ツムラ柴胡桂枝乾姜湯エキス顆粒(医療用)","柴胡桂枝乾姜湯エキス顆粒","1g","ツムラ","28.40","28.40","","","","110077801","615101431","","なし","5200052D1034","漢方製剤－漢方製剤－漢方製剤","漢方製剤","柴胡桂枝乾姜湯エキス","-"
"935","内","5200053D1020","ツムラ柴胡清肝湯エキス顆粒(医療用)","柴胡清肝湯エキス顆粒","1g","ツムラ","31.20","31.20","","","","110082201","615101433","","なし","5200053D1020","漢方製剤－漢方製剤－漢方製剤","漢方製剤","柴胡清肝湯エキス","-"
"936","内","5200054D1033","ツムラ柴朴湯エキス顆粒(医療用)","柴朴湯エキス顆粒","1g","ツムラ","33.90","34.00","","","","110087701","615101434","","なし","5200054D1033","漢方製剤－漢方製剤－漢方製剤","漢方製剤","柴朴湯エキス","-"
"937","内","5200055D1020","ツムラ柴苓湯エキス顆粒(医療用)","柴苓湯エキス顆粒","1g","ツムラ","45.00","45.00","","","","110089101","615101435","","なし","5200055D1020","漢方製剤－漢方製剤－漢方製剤","漢方製剤","柴苓湯エキス","-"
"938","内","5200056D1032","ツムラ酸棗仁湯エキス顆粒(医療用)","酸棗仁湯エキス顆粒","1g","ツムラ","18.00","18.00","","","","110091401","615101437","","なし","5200056D1032","漢方製剤－漢方製剤－漢方製剤","漢方製剤","酸棗仁湯エキス","-"
"939","内","5200057D1070","ツムラ三黄瀉心湯エキス顆粒(医療用)","三黄瀉心湯エキス顆粒","1g","ツムラ","13.20","13.20","","","","110100301","615101436","","なし","5200057D1070","漢方製剤－漢方製剤－漢方製剤","漢方製剤","三黄瀉心湯エキス","-"
"940","内","5200057M1029","コタロー三黄瀉心湯エキスカプセル","三黄瀉心湯エキスカプセル","1カプセル","小太郎=扶桑","30.20","30.20","","","","110104101","615101214","","なし","5200057M1029","漢方製剤－漢方製剤－漢方製剤","漢方製剤","三黄瀉心湯エキス","-"
"941","内","5200058D1023","ツムラ三物黄ごん湯エキス顆粒(医療用)","三物黄ごん湯エキス顆粒","1g","ツムラ","7.40","7.40","","","","110105801","615101438","","なし","5200058D1023","漢方製剤－漢方製剤－漢方製剤","漢方製剤","三物黄ごん湯エキス","-"
"942","内","5200060D1020","ツムラ滋陰至宝湯エキス顆粒(医療用)","滋陰至宝湯エキス顆粒","1g","ツムラ","15.10","15.10","","","","110108901","615101440","","なし","5200060D1020","漢方製剤－漢方製剤－漢方製剤","漢方製剤","滋陰至宝湯エキス","-"
"943","内","5200061D1025","ツムラ四逆散エキス顆粒(医療用)","四逆散エキス顆粒","1g","ツムラ","16.80","16.80","","","","110109601","615101441","","なし","5200061D1025","漢方製剤－漢方製剤－漢方製剤","漢方製剤","四逆散エキス","-"
"944","内","5200062D1020","ツムラ四君子湯エキス顆粒(医療用)","四君子湯エキス顆粒","1g","ツムラ","28.20","28.20","","","","110111901","615101442","","なし","5200062D1020","漢方製剤－漢方製剤－漢方製剤","漢方製剤","四君子湯エキス","-"
"945","内","5200063C1029","コタロー梔子柏皮湯エキス細粒","梔子柏皮湯エキス細粒","1g","小太郎","9.50","9.50","","","","110113301","615101216","","なし","5200063C1029","漢方製剤－漢方製剤－漢方製剤","漢方製剤","梔子柏皮湯エキス","-"
"946","内","5200064D1045","ツムラ七物降下湯エキス顆粒(医療用)","七物降下湯エキス顆粒","1g","ツムラ","13.10","13.10","","","","110117101","615101443","","なし","5200064D1045","漢方製剤－漢方製剤－漢方製剤","漢方製剤","七物降下湯エキス","-"
"947","内","5200065D1031","ツムラ四物湯エキス顆粒(医療用)","四物湯エキス顆粒","1g","ツムラ","13.50","13.50","","","","110123201","615101444","","なし","5200065D1031","漢方製剤－漢方製剤－漢方製剤","漢方製剤","四物湯エキス","-"
"948","内","5200066D1036","ツムラ炙甘草湯エキス顆粒(医療用)","炙甘草湯エキス顆粒","1g","ツムラ","29.40","29.40","","","","110131701","615101445","","なし","5200066D1036","漢方製剤－漢方製剤－漢方製剤","漢方製剤","炙甘草湯エキス","-"
"949","内","5200067D1049","ツムラ芍薬甘草湯エキス顆粒(医療用)","芍薬甘草湯エキス顆粒","1g","ツムラ","10.40","10.40","","","","110138601","615101446","","なし","5200067D1049","漢方製剤－漢方製剤－漢方製剤","漢方製剤","芍薬甘草湯エキス","-"
"950","内","5200068C1021","三和芍薬甘草附子湯エキス細粒","芍薬甘草附子湯エキス細粒","1g","三和生薬=大杉","19.50","19.50","","劇","","110142301","615101288","","なし","5200068C1021","漢方製剤－漢方製剤－漢方製剤","漢方製剤","芍薬甘草附子湯エキス","-"
"951","内","5200069D1048","ツムラ十全大補湯エキス顆粒(医療用)","十全大補湯エキス顆粒","1g","ツムラ","18.40","18.40","","","","110150801","615101447","","なし","5200069D1048","漢方製剤－漢方製剤－漢方製剤","漢方製剤","十全大補湯エキス","-"
"952","内","5200070D1105","ツムラ十味敗毒湯エキス顆粒(医療用)","十味敗毒湯エキス顆粒","1g","ツムラ","14.10","14.10","","","","110164501","615101448","","なし","5200070D1105","漢方製剤－漢方製剤－漢方製剤","漢方製剤","十味敗毒湯エキス","-"
"953","内","5200071D1037","ツムラ潤腸湯エキス顆粒(医療用)","潤腸湯エキス顆粒","1g","ツムラ","15.20","15.20","","","","110171301","615101449","","なし","5200071D1037","漢方製剤－漢方製剤－漢方製剤","漢方製剤","潤腸湯エキス","-"
"954","内","5200072D1058","ツムラ小建中湯エキス顆粒(医療用)","小建中湯エキス顆粒","1g","ツムラ","6.90","6.90","","","","110176801","615101450","","なし","5200072D1058","漢方製剤－漢方製剤－漢方製剤","漢方製剤","小建中湯エキス","-"
"955","内","5200073D1117","ツムラ小柴胡湯エキス顆粒(医療用)","小柴胡湯エキス顆粒","1g","ツムラ","29.40","29.40","","","","110192801","615101451","","なし","5200073D1117","漢方製剤－漢方製剤－漢方製剤","漢方製剤","小柴胡湯エキス","-"
"956","内","5200074D1022","ツムラ小柴胡湯加桔梗石膏エキス顆粒(医療用)","小柴胡湯加桔梗石膏エキス顆粒","1g","ツムラ","37.10","37.20","","","","110201701","615101452","","なし","5200074D1022","漢方製剤－漢方製剤－漢方製剤","漢方製剤","小柴胡湯加桔梗石膏エキス","-"
"957","内","5200075D1086","ツムラ小青竜湯エキス顆粒(医療用)","小青竜湯エキス顆粒","1g","ツムラ","12.80","12.80","","","","110212301","615101453","","なし","5200075D1086","漢方製剤－漢方製剤－漢方製剤","漢方製剤","小青竜湯エキス","-"
"958","内","5200076D1030","ツムラ小半夏加茯苓湯エキス顆粒(医療用)","小半夏加茯苓湯エキス顆粒","1g","ツムラ","10.70","10.70","","","","110221501","615101454","","なし","5200076D1030","漢方製剤－漢方製剤－漢方製剤","漢方製剤","小半夏加茯苓湯エキス","-"
"959","内","5200077D1034","ツムラ消風散エキス顆粒(医療用)","消風散エキス顆粒","1g","ツムラ","12.10","12.10","","","","110227701","615101455","","なし","5200077D1034","漢方製剤－漢方製剤－漢方製剤","漢方製剤","消風散エキス","-"
"960","内","5200078D1020","ツムラ升麻葛根湯エキス顆粒(医療用)","升麻葛根湯エキス顆粒","1g","ツムラ","6.90","6.70","","","","110229101","615101456","","なし","5200078D1020","漢方製剤－漢方製剤－漢方製剤","漢方製剤","升麻葛根湯エキス","-"
"961","内","5200080D1044","ツムラ辛夷清肺湯エキス顆粒(医療用)","辛夷清肺湯エキス顆粒","1g","ツムラ","15.50","15.50","","","","110234501","615101457","","なし","5200080D1044","漢方製剤－漢方製剤－漢方製剤","漢方製剤","辛夷清肺湯エキス","-"
"962","内","5200081D1030","ツムラ参蘇飲エキス顆粒(医療用)","参蘇飲エキス顆粒","1g","ツムラ","19.20","19.20","","","","110236901","615101458","","なし","5200081D1030","漢方製剤－漢方製剤－漢方製剤","漢方製剤","参蘇飲エキス","-"
"963","内","5200082D1043","ツムラ神秘湯エキス顆粒(医療用)","神秘湯エキス顆粒","1g","ツムラ","14.80","14.80","","","","110242001","615101459","","なし","5200082D1043","漢方製剤－漢方製剤－漢方製剤","漢方製剤","神秘湯エキス","-"
"964","内","5200083D1030","ツムラ真武湯エキス顆粒(医療用)","真武湯エキス顆粒(2)","1g","ツムラ","13.10","13.10","","","","110247501","615101460","","なし","5200083D1030","漢方製剤－漢方製剤－漢方製剤","漢方製剤","真武湯エキス","-"
"965","内","5200084D1034","ツムラ清上防風湯エキス顆粒(医療用)","清上防風湯エキス顆粒","1g","ツムラ","12.30","12.40","","","","110249901","615101461","","なし","5200084D1034","漢方製剤－漢方製剤－漢方製剤","漢方製剤","清上防風湯エキス","-"
"966","内","5200085D1020","ツムラ清暑益気湯エキス顆粒(医療用)","清暑益気湯エキス顆粒","1g","ツムラ","21.60","21.60","","","","110250501","615101462","","なし","5200085D1020","漢方製剤－漢方製剤－漢方製剤","漢方製剤","清暑益気湯エキス","-"
"967","内","5200086D1033","ツムラ清心蓮子飲エキス顆粒(医療用)","清心蓮子飲エキス顆粒","1g","ツムラ","29.00","29.00","","","","110254301","615101463","","なし","5200086D1033","漢方製剤－漢方製剤－漢方製剤","漢方製剤","清心蓮子飲エキス","-"
"968","内","5200087D1020","ツムラ清肺湯エキス顆粒(医療用)","清肺湯エキス顆粒","1g","ツムラ","17.10","17.10","","","","110255001","615101464","","なし","5200087D1020","漢方製剤－漢方製剤－漢方製剤","漢方製剤","清肺湯エキス","-"
"969","内","5200088D1032","ツムラ川きゅう茶調散エキス顆粒(医療用)","川きゅう茶調散エキス顆粒","1g","ツムラ","13.20","13.20","","","","110257401","615101465","","なし","5200088D1032","漢方製剤－漢方製剤－漢方製剤","漢方製剤","川きゅう茶調散エキス","-"
"970","内","5200089D1045","ツムラ疎経活血湯エキス顆粒(医療用)","疎経活血湯エキス顆粒","1g","ツムラ","16.20","16.20","","","","110260401","615101466","","なし","5200089D1045","漢方製剤－漢方製剤－漢方製剤","漢方製剤","疎経活血湯エキス","-"
"971","内","5200090D1030","ツムラ大黄甘草湯エキス顆粒(医療用)","大黄甘草湯エキス顆粒","1g","ツムラ","8.00","8.00","","","","110262801","615101467","","なし","5200090D1030","漢方製剤－漢方製剤－漢方製剤","漢方製剤","大黄甘草湯エキス","-"
"972","内","5200091D1026","ツムラ大黄牡丹皮湯エキス顆粒(医療用)","大黄牡丹皮湯エキス顆粒","1g","ツムラ","13.10","13.10","","","","110265901","615101468","","なし","5200091D1026","漢方製剤－漢方製剤－漢方製剤","漢方製剤","大黄牡丹皮湯エキス","-"
"973","内","5200092D1020","ツムラ大建中湯エキス顆粒(医療用)","大建中湯エキス顆粒","1g","ツムラ","13.70","13.70","","","","110268001","615101469","","なし","5200092D1020","漢方製剤－漢方製剤－漢方製剤","漢方製剤","大建中湯エキス","-"
"974","内","5200093D1092","ツムラ大柴胡湯エキス顆粒(医療用)","大柴胡湯エキス顆粒","1g","ツムラ","21.90","21.90","","","","110280201","615101470","","なし","5200093D1092","漢方製剤－漢方製剤－漢方製剤","漢方製剤","大柴胡湯エキス","-"
"975","内","5200094C1024","コタロー大柴胡湯去大黄エキス細粒","大柴胡湯去大黄エキス細粒","1g","小太郎","18.40","18.40","","","","110288801","615101232","","なし","5200094C1024","漢方製剤－漢方製剤－漢方製剤","漢方製剤","大柴胡湯去大黄エキス","-"
"976","内","5200095D1024","ツムラ大承気湯エキス顆粒(医療用)","大承気湯エキス顆粒","1g","ツムラ","10.80","10.80","","","","110291801","615101471","","なし","5200095D1024","漢方製剤－漢方製剤－漢方製剤","漢方製剤","大承気湯エキス","-"
"977","内","5200096D1029","ツムラ大防風湯エキス顆粒(医療用)","大防風湯エキス顆粒","1g","ツムラ","20.90","20.90","","","","110293201","615101754","","なし","5200096D1029","漢方製剤－漢方製剤－漢方製剤","漢方製剤","大防風湯エキス","-"
"978","内","5200097D1023","ツムラ竹じょ温胆湯エキス顆粒(医療用)","竹じょ温胆湯エキス顆粒","1g","ツムラ","28.70","28.70","","","","110294901","615101472","","なし","5200097D1023","漢方製剤－漢方製剤－漢方製剤","漢方製剤","竹じょ温胆湯エキス","-"
"979","内","5200098D1028","ツムラ治打撲一方エキス顆粒(医療用)","治打撲一方エキス顆粒","1g","ツムラ","8.30","8.30","","","","110295601","615101474","","なし","5200098D1028","漢方製剤－漢方製剤－漢方製剤","漢方製剤","治打撲一方エキス","-"
"980","内","5200099D1022","ツムラ治頭瘡一方エキス顆粒(医療用)","治頭瘡一方エキス顆粒","1g","ツムラ","12.80","12.80","","","","110296301","615101473","","なし","5200099D1022","漢方製剤－漢方製剤－漢方製剤","漢方製剤","治頭瘡一方エキス","-"
"981","内","5200100D1027","ツムラ調胃承気湯エキス顆粒(医療用)","調胃承気湯エキス顆粒","1g","ツムラ","6.90","6.70","","","","110297001","615101475","","なし","5200100D1027","漢方製剤－漢方製剤－漢方製剤","漢方製剤","調胃承気湯エキス","-"
"982","内","5200101D1030","ツムラ釣藤散エキス顆粒(医療用)","釣藤散エキス顆粒","1g","ツムラ","34.70","34.70","","","","110299401","615101476","","なし","5200101D1030","漢方製剤－漢方製剤－漢方製剤","漢方製剤","釣藤散エキス","-"
"983","内","5200102C1020","コタロー腸癰湯エキス細粒","腸癰湯エキス細粒","1g","小太郎","13.40","13.40","","","","110301401","615101234","","なし","5200102C1020","漢方製剤－漢方製剤－漢方製剤","漢方製剤","腸癰湯エキス","-"
"984","内","5200103D1101","ツムラ猪苓湯エキス顆粒(医療用)","猪苓湯エキス顆粒","1g","ツムラ","13.70","13.70","","","","110314401","615101477","","なし","5200103D1101","漢方製剤－漢方製剤－漢方製剤","漢方製剤","猪苓湯エキス","-"
"985","内","5200104D1025","ツムラ猪苓湯合四物湯エキス顆粒(医療用)","猪苓湯合四物湯エキス顆粒","1g","ツムラ","22.90","22.90","","","","110320501","615101478","","なし","5200104D1025","漢方製剤－漢方製剤－漢方製剤","漢方製剤","猪苓湯合四物湯エキス","-"
"986","内","5200105D1038","ツムラ通導散エキス顆粒(医療用)","通導散エキス顆粒","1g","ツムラ","14.60","14.60","","","","110323601","615101479","","なし","5200105D1038","漢方製剤－漢方製剤－漢方製剤","漢方製剤","通導散エキス","-"
"987","内","5200106D1059","ツムラ桃核承気湯エキス顆粒(医療用)","桃核承気湯エキス顆粒","1g","ツムラ","12.80","12.80","","","","110331101","615101480","","なし","5200106D1059","漢方製剤－漢方製剤－漢方製剤","漢方製剤","桃核承気湯エキス","-"
"988","内","5200107D1029","ツムラ当帰湯エキス顆粒(医療用)","当帰湯エキス顆粒","1g","ツムラ","31.00","31.00","","","","110335901","615101485","","なし","5200107D1029","漢方製剤－漢方製剤－漢方製剤","漢方製剤","当帰湯エキス","-"
"989","内","5200108D1023","ツムラ当帰飲子エキス顆粒(医療用)","当帰飲子エキス顆粒","1g","ツムラ","21.00","21.00","","","","110336601","615101481","","なし","5200108D1023","漢方製剤－漢方製剤－漢方製剤","漢方製剤","当帰飲子エキス","-"
"990","内","5200110D1047","ツムラ当帰四逆加呉茱萸生姜湯エキス顆粒(医療用)","当帰四逆加呉茱萸生姜湯エキス顆粒","1g","ツムラ","16.60","16.60","","","","110343401","615101483","","なし","5200110D1047","漢方製剤－漢方製剤－漢方製剤","漢方製剤","当帰四逆加呉茱萸生姜湯エキス","-"
"991","内","5200111D1076","ツムラ当帰芍薬散エキス顆粒(医療用)","当帰芍薬散エキス顆粒","1g","ツムラ","14.90","14.90","","","","110357101","615101484","","なし","5200111D1076","漢方製剤－漢方製剤－漢方製剤","漢方製剤","当帰芍薬散エキス","-"
"992","内","5200113D1024","ツムラ二朮湯エキス顆粒(医療用)","二朮湯エキス顆粒","1g","ツムラ","11.50","11.50","","","","110366301","615101486","","なし","5200113D1024","漢方製剤－漢方製剤－漢方製剤","漢方製剤","二朮湯エキス","-"
"993","内","5200114D1029","ツムラ二陳湯エキス顆粒(医療用)","二陳湯エキス顆粒","1g","ツムラ","14.90","14.90","","","","110368701","615101487","","なし","5200114D1029","漢方製剤－漢方製剤－漢方製剤","漢方製剤","二陳湯エキス","-"
"994","内","5200115D1023","ツムラ女神散エキス顆粒(医療用)","女神散エキス顆粒","1g","ツムラ","21.80","21.80","","","","110370001","615101488","","なし","5200115D1023","漢方製剤－漢方製剤－漢方製剤","漢方製剤","女神散エキス","-"
"995","内","5200117C1043","クラシエ人参養栄湯エキス細粒","人参養栄湯エキス細粒","1g","クラシエ=クラシエ薬品","22.20","22.30","","","","110385401","620005342","","なし","5200117C1043","漢方製剤－漢方製剤－漢方製剤","漢方製剤","人参養栄湯エキス","-"
"996","内","5200118D1027","ツムラ排膿散及湯エキス顆粒(医療用)","排膿散及湯エキス顆粒","1g","ツムラ","13.40","13.40","","","","110390801","615101491","","なし","5200118D1027","漢方製剤－漢方製剤－漢方製剤","漢方製剤","排膿散及湯エキス","-"
"997","内","5200119D1030","ツムラ麦門冬湯エキス顆粒(医療用)","麦門冬湯エキス顆粒","1g","ツムラ","16.50","16.50","","","","110394601","615101492","","なし","5200119D1030","漢方製剤－漢方製剤－漢方製剤","漢方製剤","麦門冬湯エキス","-"
"998","内","5200121D1045","ツムラ八味地黄丸エキス顆粒(医療用)","八味地黄丸エキス顆粒(2)","1g","ツムラ","9.80","9.80","","","","110405901","615101493","","なし","5200121D1045","漢方製剤－漢方製剤－漢方製剤","漢方製剤","八味地黄丸エキス","-"
"999","内","5200122D1074","ツムラ半夏厚朴湯エキス顆粒(医療用)","半夏厚朴湯エキス顆粒","1g","ツムラ","14.60","14.60","","","","110421901","615101494","","なし","5200122D1074","漢方製剤－漢方製剤－漢方製剤","漢方製剤","半夏厚朴湯エキス","-"
"1000","内","5200123D1079","ツムラ半夏瀉心湯エキス顆粒(医療用)","半夏瀉心湯エキス顆粒","1g","ツムラ","22.30","22.30","","","","110438701","615101495","","なし","5200123D1079","漢方製剤－漢方製剤－漢方製剤","漢方製剤","半夏瀉心湯エキス","-"
"1001","内","5200124D1022","ツムラ半夏白朮天麻湯エキス顆粒(医療用)","半夏白朮天麻湯エキス顆粒","1g","ツムラ","23.20","23.20","","","","110449301","615101496","","なし","5200124D1022","漢方製剤－漢方製剤－漢方製剤","漢方製剤","半夏白朮天麻湯エキス","-"
"1002","内","5200125D1035","ツムラ白虎加人参湯エキス顆粒(医療用)","白虎加人参湯エキス顆粒","1g","ツムラ","17.70","17.70","","","","110453001","615101497","","なし","5200125D1035","漢方製剤－漢方製剤－漢方製剤","漢方製剤","白虎加人参湯エキス","-"
"1003","内","5200126D1021","ツムラ茯苓飲エキス顆粒(医療用)","茯苓飲エキス顆粒","1g","ツムラ","21.60","21.60","","","","110457801","615101498","","なし","5200126D1021","漢方製剤－漢方製剤－漢方製剤","漢方製剤","茯苓飲エキス","-"
